"global_id";"ObjectName";"NameWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"2721623813";"Спортивный комплекс «Москворечье»";"Городок тренажерный (воркаут) нового типа";"Южный административный округ";"Даниловский район";"улица Лестева, дом 3, строение 1";"yug@mossport.ru";"yug.mossport.ru";"(499) 613-94-76";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"да";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.618428615, 55.713873358], type=Point}";"{coordinates=[37.618428615, 55.713873358], type=Point}";
"2721623830";"Спортивный комплекс «Россошанский»";"Городок тренажерный (воркаут) нового типа";"Южный административный округ";"район Чертаново Южное";"Россошанский проезд, дом 4, корпус 4, строение 2";"yug@mossport.ru";"yug.mossport.ru";"(499) 613-94-76";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.605881579, 55.598964091], type=Point}";"{coordinates=[37.605881579, 55.598964091], type=Point}";
"2721624361";"Дворовая территория";"Городок тренажерный универсальный";"Западный административный округ";"район Раменки";"Мичуринский проспект, дом 31, корпус 4";"uzao-ramenki@mos.ru";"ramenki.mos.ru";"(499) 739-19-41";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.496841168, 55.694497219], type=Point}";"{coordinates=[37.496841168, 55.694497219], type=Point}";
"2721624406";"Спортивный комплекс Московской академия регби на ул. Василия Петушкова";"Городок тренажерный универсальный";"Северо-Западный административный округ";"район Южное Тушино";"улица Василия Петушкова, дом 10";"mra@mossport.ru";"mra.mossport.ru";"(495) 949-55-48";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.411428936, 55.839771019], type=Point}";"{coordinates=[37.411428936, 55.839771019], type=Point}";
"2721624681";"Дворовая территория";"Городок тренажерный универсальный №1";"Юго-Западный административный округ";"Ломоносовский район";"улица Вавилова, дом 91, корпус 2";"Lomonos@uzao.mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.547581112, 55.678155436], type=Point}";"{coordinates=[37.547581112, 55.678155436], type=Point}";
"2721624697";"Дворовая территория";"Городок тренажерный (воркаут) старого типа";"Юго-Западный административный округ";"Ломоносовский район";"улица Вавилова, дом 91, корпус 2";"Lomonos@uzao.mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.54802933, 55.678156927], type=Point}";"{coordinates=[37.54802933, 55.678156927], type=Point}";
"2721624926";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Юго-Западный административный округ";"Ломоносовский район";"Ленинский проспект, дом 83, корпус 4";"lomonos@uzao.mos.ru";"lomonosovsky.mos.ru";"(499) 133-14-67";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.541275526, 55.680406979], type=Point}";"{coordinates=[37.541275526, 55.680406979], type=Point}";
"2721624944";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"Ломоносовский район";"Ленинский проспект, дом 83, корпус 4";"lomonos@uzao.mos.ru";"lomonosovsky.mos.ru";"(499) 133-14-67";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.54139242, 55.680471554], type=Point}";"{coordinates=[37.54139242, 55.680471554], type=Point}";
"2721624984";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"Ломоносовский район";"улица Крупской, дом 11";"uzao-lomonos@mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.525122284, 55.682335904], type=Point}";"{coordinates=[37.525122284, 55.682335904], type=Point}";
"2721625002";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Юго-Западный административный округ";"Ломоносовский район";"улица Строителей, дом 3";"uzao-lomonos@mos.ru";"lomonosovsky.mos.ru/";"(499) 133-14-67";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"рулонное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.537097187, 55.684415105], type=Point}";"{coordinates=[37.537097187, 55.684415105], type=Point}";
"2721625555";"Спортивный комплекс образовательного учреждения";"Городок тренажерный универсальный";"Восточный административный округ";"район Вешняки";"улица Молдагуловой, дом 6А";"sk31@edu.mos.ru";"schiv31.mskobr.ru";"(499) 374-11-31";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.808928899, 55.725765954], type=Point}";"{coordinates=[37.808928899, 55.725765954], type=Point}";
"2721625589";"Спортивный комплекс образовательного учреждения";"Городок тренажерный (воркаут) нового типа";"Восточный административный округ";"район Вешняки";"улица Молдагуловой, дом 30Б";"1512@edu.mos.ru";"sch1512.mskobr.ru";"(499) 374-77-44";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.827768736, 55.71930653], type=Point}";"{coordinates=[37.827768736, 55.71930653], type=Point}";
"2721625623";"Спортивный комплекс образовательного учреждения";"Городок тренажерный (воркаут) нового типа";"Восточный административный округ";"район Вешняки";"Косинская улица, дом 28А";"1404@edu.mos.ru";"gym1404.mskobr.ru";"(499) 268-46-86";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.826856785, 55.716587089], type=Point}";"{coordinates=[37.826856785, 55.716587089], type=Point}";
"2721625656";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Восточный административный округ";"район Измайлово";"11-я Парковая улица, дом 37, корпус 1";"dezizm@yandex.ru";"www.gbu-izm.ru";"(499) 165-40-00";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.804330587, 55.800246761], type=Point}";"{coordinates=[37.804330587, 55.800246761], type=Point}";
"2721625679";"Парк «Сиреневый сад»";"Городок тренажерный (воркаут) нового типа №2";"Восточный административный округ";"район Северное Измайлово";"Щёлковское шоссе, дом 12, корпус 3";"parkizmailovskiy@culture.mos.ru";"izmailovsky-park.ru";"(499) 530-16-62";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"грунтовое покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.763721943, 55.803662868], type=Point}";"{coordinates=[37.763721943, 55.803662868], type=Point}";
"2721625743";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Северо-Восточный административный округ";"Лосиноостровский район";"Анадырский проезд, дом 49";"yrlos@mos.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.70053326, 55.876458941], type=Point}";"{coordinates=[37.70053326, 55.876458941], type=Point}";
"2721625754";"Дворовая территория";"Городок тренажерный универсальный";"Северо-Восточный административный округ";"Лосиноостровский район";"Минусинская улица, дом 9";"yrlos@mos.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.689146444, 55.874237992], type=Point}";"{coordinates=[37.689146444, 55.874237992], type=Point}";
"2721625756";"Дворовая территория";"Городок тренажерный универсальный";"Северо-Восточный административный округ";"Лосиноостровский район";"Изумрудная улица, дом 12";"yrlos@mos.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.681435223, 55.869286354], type=Point}";"{coordinates=[37.681435223, 55.869286354], type=Point}";
"2721625758";"Природный заказник «Воробьевы горы»";"Городок тренажерный (воркаут) нового типа";"Западный административный округ";"район Раменки";"улица Косыгина, дом 28, строение 2";"Parkgorkogo@culture.mos.ru";"park-gorkogo.ru";"(495) 995-00-20";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.552801931, 55.708859603], type=Point}";"{coordinates=[37.552801931, 55.708859603], type=Point}";
"2721625772";"Дворовая территория";"Городок тренажерный универсальный";"Северо-Восточный административный округ";"Лосиноостровский район";"Стартовая улица, дом 7, корпус 1";"gbu.losinoostrovskiy@mail.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.703788184, 55.886452985], type=Point}";"{coordinates=[37.703788184, 55.886452985], type=Point}";
"2721625791";"Дворовая территория";"Городок тренажерный универсальный";"Северо-Восточный административный округ";"Лосиноостровский район";"Изумрудная улица, дом 14";"yrlos@mos.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.682709241, 55.869340428], type=Point}";"{coordinates=[37.682709241, 55.869340428], type=Point}";
"2721625859";"Дворовая территория";"Городок тренажерный универсальный";"Северо-Восточный административный округ";"Лосиноостровский район";"улица Малыгина, дом 14, корпус 2, строение 2";"yrlos@mos.ru";"losinka.mos.ru";"(495) 471-11-91";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.69190785, 55.883588876], type=Point}";"{coordinates=[37.69190785, 55.883588876], type=Point}";
"2721625905";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Западный административный округ";"район Кунцево";"2-я Новорублёвская улица, дом 15, корпус 1";"uprava-kuntsevo@mos.ru";"kuntsevo.mos.ru/";"(499) 141-25-36";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение светодиодными лампами";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.364169196, 55.786964318], type=Point}";"{coordinates=[37.364169196, 55.786964318], type=Point}";
"2721625922";"Дворовая территория";"Городок тренажерный (воркаут) старого типа";"Западный административный округ";"район Кунцево";"Кунцевская улица, дом 13/6";"uprava-kuntsevo@mos.ru";"kuntsevo.mos.ru/";"(499) 141-25-36";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.413625364, 55.730068804], type=Point}";"{coordinates=[37.413625364, 55.730068804], type=Point}";
"2721625955";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"Большая Черёмушкинская улица, дом 19, корпус 5";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.59179, 55.682841], type=Point}";"{coordinates=[37.59179, 55.682841], type=Point}";
"2721625956";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"Большая Черёмушкинская улица, дом 3, корпус 1";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"отсыпное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.598512245, 55.688864334], type=Point}";"{coordinates=[37.598512245, 55.688864334], type=Point}";
"2721625963";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"Нагорная улица, дом 19, корпус 3";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.606723339, 55.676956381], type=Point}";"{coordinates=[37.606723339, 55.676956381], type=Point}";
"2721625999";"Спортивный комплекс образовательного учреждения";"Городок тренажерный универсальный №2";"Южный административный округ";"Нагорный район";"Нахимовский проспект, дом 6";"sk73@edu.mos.ru";"schiu73.mskobr.ru";"(499) 613-17-22";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"да";"01.09-31.08";"nested data";"освещение светодиодными лампами";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.609071222, 55.665320487], type=Point}";"{coordinates=[37.609071222, 55.665320487], type=Point}";
"2721626039";"Дворовая территория";"Городок тренажерный (воркаут) нового типа";"Юго-Западный административный округ";"район Котловка";"Нагорная улица, дом 7, корпус 2";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"асфальтовое, бетонное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.610439361, 55.68034965], type=Point}";"{coordinates=[37.610439361, 55.68034965], type=Point}";
"2721626041";"Дворовая территория";"Городок тренажерный универсальный №1";"Юго-Западный административный округ";"район Котловка";"Нагорная улица, дом 7, корпус 4";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"газонное покрытие (искусственное)";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.612005102, 55.679522781], type=Point}";"{coordinates=[37.612005102, 55.679522781], type=Point}";
"2721626044";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"Севастопольский проспект, дом 13, корпус 4";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"рулонное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.602486919, 55.682516094], type=Point}";"{coordinates=[37.602486919, 55.682516094], type=Point}";
"2721626060";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"улица Винокурова, дом 22, корпус 2";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.595078694, 55.6838425], type=Point}";"{coordinates=[37.595078694, 55.6838425], type=Point}";
"2721626093";"Дворовая территория";"Городок тренажерный универсальный";"Юго-Западный административный округ";"район Котловка";"улица Кржижановского, дом 27";"sport_kotlovka@mail.ru";"kotlovka.mos.ru";"(499) 123-62-15";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.58074139, 55.67583732], type=Point}";"{coordinates=[37.58074139, 55.67583732], type=Point}";
"2721626121";"Дворовая территория";"Городок тренажерный универсальный";"Западный административный округ";"район Филёвский Парк";"Рублёвское шоссе, дом 16, корпус 3";"uprava-kuntsevo@mos.ru";"kuntsevo.mos.ru";"(499) 141-65-26";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.436920854, 55.741127425], type=Point}";"{coordinates=[37.436920854, 55.741127425], type=Point}";
"2721626124";"Спортивный комплекс образовательного учреждения";"Городок тренажерный универсальный №2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Генерала Глаголева, дом 10, корпус 2";"138@edu.mos.ru";"sch138sz.mskobr.ru";"(499) 199-00-24";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.464422153, 55.781664284], type=Point}";"{coordinates=[37.464422153, 55.781664284], type=Point}";
"2721626128";"Спортивный комплекс образовательного учреждения";"Городок тренажерный (воркаут) старого типа";"Северо-Западный административный округ";"район Щукино";"Живописная улица, дом 32";"1210@edu.mos.ru";"sch1210sz.mskobr.ru";"(499) 720-43-70";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"нет";"да";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.456402, 55.79309], type=Point}";"{coordinates=[37.456402, 55.79309], type=Point}";
"2721626212";"Парк «Бирюлевский дендропарк»";"Городок тренажерный (воркаут) нового типа №5";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 26";"tsaritsynomuseum@culture.mos.ru";"tsaritsyno-museum.ru";"(495) 322-44-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.679227118, 55.589742465], type=Point}";"{coordinates=[37.679227118, 55.589742465], type=Point}";
